Country,Year,avg_malnutrition
Brazil,2012,2.838653326034546
Brazil,2013,2.7813881436983743
Brazil,2014,2.7350342869758606
Brazil,2015,2.6989469726880393
Brazil,2016,2.6722411712010703
Brazil,2017,2.6535659432411194
Brazil,2018,2.641574482123057
Brazil,2019,2.6345942616462708
Brazil,2020,2.629411737124125
Brazil,2021,2.6266367435455322
Brazil,2022,2.626853585243225
India,2012,25.192434946695965
India,2013,24.608118693033855
India,2014,24.013357321421307
India,2015,23.399619897206623
India,2016,22.771373589833576
India,2017,22.140419165293377
India,2018,21.511674245198567
India,2019,20.887197494506836
India,2020,20.27368148167928
India,2021,19.67607792218526
India,2022,19.092013279596966
Nigeria,2012,11.248457272847494
Nigeria,2013,11.316420793533325
Nigeria,2014,11.416175444920858
Nigeria,2015,11.541386922200521
Nigeria,2016,11.686105807622274
Nigeria,2017,11.842101812362671
Nigeria,2018,12.001993894577026
Nigeria,2019,12.168214003245035
Nigeria,2020,12.340926885604858
Nigeria,2021,12.519244511922201
Nigeria,2022,12.700026671091715
